PIN_NUM,CALC_AREA,REID,DEED_ACRES,BLDG_VAL,LAND_VAL,TOTAL_VALUE_ASSD,HEATEDAREA,SITE_ADDRESS,CITY_DECODE,TOWNSHIP_DECODE,YEAR_BUILT,TYPE_USE_DECODE,LAND_CLASS_DECODE,ZIPNUM
0668482227,0.96679538,176547,0.97,413960,140000,553960,2807,5005 HANNA LN,,Holly Springs,1992,SINGLFAM,Residential Less Than 10 Acres,27526
0676888007,0.70123273,176560,0.71,207385,90000,297385,1598,7212 SILVER MAPLE ST,,Middle Creek,1990,SINGLFAM,Residential Less Than 10 Acres,27592
0676889142,0.70814974,176561,0.71,220826,90000,310826,1242,7209 SILVER MAPLE ST,,Middle Creek,1993,SINGLFAM,Residential Less Than 10 Acres,27592
0676980182,0.86857871,176563,0.87,265926,90000,355926,1648,1716 QUAIL GROVE ST,,Middle Creek,1993,SINGLFAM,Residential Less Than 10 Acres,27592
0676983120,0.69077098,176565,0.69,204959,90000,294959,1472,1724 QUAIL GROVE ST,,Middle Creek,1994,SINGLFAM,Residential Less Than 10 Acres,27592
0762597046,0.11824107,176614,0.12,245142,170000,415142,1281,114 KRAMER CT,CARY,Cary,1989,SINGLFAM,Residential Less Than 10 Acres,27511
0762586854,0.1033376,176620,0.1,245142,170000,415142,1281,106 KRAMER CT,CARY,Cary,1989,SINGLFAM,Residential Less Than 10 Acres,27511
0762595182,0.14815705,176626,0.15,337446,170000,507446,1692,113 KRAMER CT,CARY,Cary,1991,SINGLFAM,Residential Less Than 10 Acres,27511
0762595028,0.12344825,176627,0.13,279031,170000,449031,1562,111 KRAMER CT,CARY,Cary,1991,SINGLFAM,Residential Less Than 10 Acres,27511
0762584984,0.10917235,176629,0.11,247743,170000,417743,1242,107 KRAMER CT,CARY,Cary,1993,SINGLFAM,Residential Less Than 10 Acres,27511
1850630168,0.39435487,176718,0.39,242628,110000,352628,1773,936 SKYLAR CT,,Wake Forest,1990,SINGLFAM,Residential Less Than 10 Acres,27587
0798585123,0.2234203,176746,0.22,324302,106250,430552,2089,828 KINGS CROSS WAY,,Barton's Creek,1999,SINGLFAM,Residential Less Than 10 Acres,27615
1801413894,1.82843817,176769,1.84,409463,200000,609463,2412,3712 DUXFORD DR,,Barton's Creek,1994,SINGLFAM,Residential Less Than 10 Acres,27614
1801328400,1.90986579,176773,1.91,723531,200000,923531,4409,3732 DUXFORD DR,,Barton's Creek,1996,SINGLFAM,Residential Less Than 10 Acres,27614
1801225814,1.83855794,176781,1.84,449796,200000,649796,3124,13113 RUMFORD CT,,Barton's Creek,1994,SINGLFAM,Residential Less Than 10 Acres,27614
0744958660,0.0895612,176788,0.09,648500,335000,983500,2602,757 CRABTREE CROSSING PKWY,CARY,Cary,1989,SINGLFAM,Residential Less Than 10 Acres,27513
0744774365,0.26283531,176807,0.26,491515,295000,786515,2514,102 PRESTON PINES DR,CARY,Cedar Fork,1997,SINGLFAM,Residential Less Than 10 Acres,27513
0742936566,0.04028916,176857,0.04,168594,140000,308594,1101,129 HALSMER CT,APEX,White Oak,1989,SINGLFAM,Residential Less Than 10 Acres,27502
0753164094,0.21222072,176882,0.21,362443,180000,542443,2010,213 EXCALIBUR CT,CARY,Cary,1990,SINGLFAM,Residential Less Than 10 Acres,27513
0761074973,1.00847561,176890,1.01,1242245,290000,1532245,6766,108 SYMPHONY CT,CARY,White Oak,2001,SINGLFAM,Residential Less Than 10 Acres,27518
0761076790,1.00803666,176892,1.01,465400,290000,755400,3866,109 SYMPHONY CT,CARY,White Oak,1991,SINGLFAM,Residential Less Than 10 Acres,27518
0791021329,0.91946729,176930,0.92,436044,200000,636044,3018,5412 BLUE SAGE DR,,Swift Creek,1992,SINGLFAM,Residential Less Than 10 Acres,27606
0791021243,1.14978588,176931,1.15,374017,220000,594017,2515,5416 BLUE SAGE DR,,Swift Creek,1990,SINGLFAM,Residential Less Than 10 Acres,27606
0791021015,1.39643398,176932,1.4,533430,260000,793430,2640,5436 BLUE SAGE DR,,Swift Creek,1993,SINGLFAM,Residential Less Than 10 Acres,27606
0781928367,0.9240137,176935,0.92,463981,200000,663981,3098,2213 BLACK WALNUT CT,,Swift Creek,1989,SINGLFAM,Residential Less Than 10 Acres,27606
0781928552,0.9239201,176936,0.92,490716,200000,690716,3167,2205 BLACK WALNUT CT,,Swift Creek,1995,SINGLFAM,Residential Less Than 10 Acres,27606
0772272295,0.26571024,176972,0.26,354542,175000,529542,2344,113 DURINGTON PL,CARY,Cary,1990,SINGLFAM,Residential Less Than 10 Acres,27518
0698205795,0.72576945,177026,0.72,154865,100000,254865,1106,10840 FANNY BROWN RD,,Panther Branch,1989,SINGLFAM,Residential Less Than 10 Acres,27603
0698213072,1.84465516,177029,1.84,197510,100000,297510,1336,10820 FANNY BROWN RD,,Panther Branch,1993,SINGLFAM,Residential Less Than 10 Acres,27603
0881908436,0.91180682,177031,0.91,303332,166500,469832,1851,3011 MT VERNON CHURCH RD,,Barton's Creek,1989,SINGLFAM,Residential Less Than 10 Acres,27613
0794980383,0.38647404,177033,0.38,550983,628000,1178983,3225,2604 CHURCHILL RD,RALEIGH,Raleigh,1988,SINGLFAM,Residential Less Than 10 Acres,27608
1841737012,0.27472825,177166,0.27,159676,50000,209676,1040,500 N ALLEN RD,WAKE FOREST,Wake Forest,2007,SINGLFAM,Residential Less Than 10 Acres,27587
0787787676,0.29373213,177264,0.29,438403,200000,638403,2868,4012 SKIPJACK CT,RALEIGH,Leesville,1991,SINGLFAM,Residential Less Than 10 Acres,27613
0796279972,0.3816776,177444,0.38,460226,250000,710226,3269,3100 PLAZA PL,RALEIGH,House Creek,1993,SINGLFAM,Residential Less Than 10 Acres,27612
1744610481,0.3515426,177497,0.35,281225,80000,361225,1735,818 CLAY HILL DR,KNIGHTDALE,St. Matthew's,1989,SINGLFAM,Residential Less Than 10 Acres,27545
0795355814,0.03127772,177524,0.03,258339,90250,348589,1680,1503 VILLAGE GLENN DR,RALEIGH,Meredith,1989,SINGLFAM,Residential Less Than 10 Acres,27612
0789478975,0.30296802,177821,0.31,275699,150000,425699,1890,5952 DUNBARTON WAY,,Leesville,1993,SINGLFAM,Residential Less Than 10 Acres,27613
0789483247,0.23667225,177841,0.24,249042,150000,399042,1817,5925 DUNBARTON WAY,,Leesville,1992,SINGLFAM,Residential Less Than 10 Acres,27613
1784546083,0.25819746,177870,0.26,196537,65000,261537,1563,908 WICKETT CIR,WENDELL,Mark's Creek,1990,SINGLFAM,Residential Less Than 10 Acres,27591
1784547158,0.16155301,177872,0.16,202339,65000,267339,1592,918 WICKETT CIR,WENDELL,Mark's Creek,1990,SINGLFAM,Residential Less Than 10 Acres,27591
1784547345,0.31348177,177874,0.31,200397,65000,265397,1592,930 WICKETT CIR,WENDELL,Mark's Creek,1990,SINGLFAM,Residential Less Than 10 Acres,27591
1784545378,0.19902632,177876,0.2,176224,65000,241224,1296,942 WICKETT CIR,WENDELL,Mark's Creek,1993,SINGLFAM,Residential Less Than 10 Acres,27591
1784545197,0.17332425,177878,0.17,178578,65000,243578,1296,915 WICKETT CIR,WENDELL,Mark's Creek,1993,SINGLFAM,Residential Less Than 10 Acres,27591
1763640326,0.3664368,177879,0.38,159239,70000,229239,1106,1205 AMBER ACRES LN,,Mark's Creek,1995,SINGLFAM,Residential Less Than 10 Acres,27545
1763637332,0.28395657,177924,0.28,194195,70000,264195,1091,6008 SANDY RUN,,Mark's Creek,1994,SINGLFAM,Residential Less Than 10 Acres,27545
1763636195,0.35840488,177926,0.36,160879,70000,230879,1074,1405 AMBER ACRES LN,,Mark's Creek,1994,SINGLFAM,Residential Less Than 10 Acres,27545
1763731276,0.25362207,177932,0.25,155653,70000,225653,1055,1433 AMBER ACRES LN,,Mark's Creek,1994,SINGLFAM,Residential Less Than 10 Acres,27545
0742934003,0.05468528,178023,0.05,211100,140000,351100,1589,133 ALTAIR CIR,APEX,White Oak,1991,SINGLFAM,Residential Less Than 10 Acres,27502
1734091189,0.1518366,178061,0.15,246883,100000,346883,1826,4509 EMMIT DR,RALEIGH,St. Matthew's,1990,SINGLFAM,Residential Less Than 10 Acres,27604
1724989779,0.11709304,178072,0.12,192802,100000,292802,1324,4512 BARTHOLOMEW CIR,RALEIGH,St. Matthew's,1996,SINGLFAM,Residential Less Than 10 Acres,27604
1724985935,0.12788905,178089,0.13,225051,100000,325051,1687,4312 BARTHOLOMEW CIR,RALEIGH,St. Matthew's,1991,SINGLFAM,Residential Less Than 10 Acres,27604
1724995065,0.12342161,178091,0.12,280424,100000,380424,1838,4320 BARTHOLOMEW CIR,RALEIGH,St. Matthew's,1990,SINGLFAM,Residential Less Than 10 Acres,27604
1724996144,0.12230679,178093,0.12,225542,100000,325542,1574,4328 BARTHOLOMEW CIR,RALEIGH,St. Matthew's,1996,SINGLFAM,Residential Less Than 10 Acres,27604
1724997427,0.12084145,178156,0.12,207705,100000,307705,1277,4428 INEZ CT,RALEIGH,St. Matthew's,1998,SINGLFAM,Residential Less Than 10 Acres,27604
0753066645,0.29086994,178169,0.29,419168,225000,644168,2467,123 WHITE SANDS DR,CARY,Cary,1992,SINGLFAM,Residential Less Than 10 Acres,27513
0753065582,0.53278806,178170,0.54,426040,225000,651040,2557,124 WHITE SANDS DR,CARY,Cary,1990,SINGLFAM,Residential Less Than 10 Acres,27513
0744779313,0.39080298,178238,0.39,552999,400000,952999,2973,106 PRESTON RIDGE CT,CARY,Cedar Fork,1992,SINGLFAM,Residential Less Than 10 Acres,27513
0753334870,0.20487495,178262,0.2,213474,165000,378474,1252,106 LARAMIE CT,CARY,Cary,1989,SINGLFAM,Residential Less Than 10 Acres,27513
0753333789,0.2406009,178263,0.26,231128,165000,396128,1232,107 LARAMIE CT,CARY,Cary,1989,SINGLFAM,Residential Less Than 10 Acres,27513
0753335599,0.15176989,178270,0.15,217388,165000,382388,1390,115 BUENA VISTA DR,CARY,Cary,1990,SINGLFAM,Residential Less Than 10 Acres,27513
0753338413,0.19470747,178276,0.19,213474,165000,378474,1252,104 CHULA VISTA CT,CARY,Cary,1989,SINGLFAM,Residential Less Than 10 Acres,27513
1608862529,0.70988572,178304,0.71,173044,100000,273044,1220,9900 JOE LEACH RD,,Panther Branch,1992,SINGLFAM,Residential Less Than 10 Acres,27603
1607390267,0.73763955,178319,0.74,345788,80000,425788,2314,6409 HAMPTON RIDGE RD,,Panther Branch,1991,SINGLFAM,Residential Less Than 10 Acres,27603
1607288127,0.69675038,178326,0.71,378901,80000,458901,2121,6257 HAMPTON RIDGE RD,,Panther Branch,1990,SINGLFAM,Residential Less Than 10 Acres,27603
1607280490,0.71968912,178355,0.71,361260,80000,441260,2385,6020 WOLVERHAMPTON DR,,Panther Branch,1991,SINGLFAM,Residential Less Than 10 Acres,27603
