PIN_NUM,Permit Type Mapped,Work Class,Proposed Work Description,Applied Date,Issued Date,Estimated Project Cost,CO Issued Date,Month Issued,Year Issued,Current Status,Permit Number
0787146511,Building,Addition,BASEMENT W/ SUNROOM ABOVE,9/8/2006,9/8/2006,9000,,9,2006,INACTIVE (INSPECTIONS COMPLETED),059992
0787142071,Building,New Building,TOWNHOUSE LOT 47,11/27/2000,12/22/2000,79500,36965.79319,12,2000,INACTIVE (INSPECTIONS COMPLETED),006057
0787136828,Building,New Building,TOWNHOUSE LOT 64---TYPICAL 8931,12/22/2000,2/5/2001,105500,37034.54978,2,2001,INACTIVE (INSPECTIONS COMPLETED),006749
0787136820,Building,New Building,TOWNHOUSE TYPICAL 8931; LOT 75,12/27/2000,2/23/2001,77700,37182.54046,2,2001,INACTIVE (INSPECTIONS COMPLETED),006760
0787136809,Building,New Building,TOWNHOUSE LOT 65; TYPICAL 8931,12/22/2000,2/5/2001,105500,37041.66953,2,2001,INACTIVE (INSPECTIONS COMPLETED),006750
0787136800,Building,New Building,TOWNHOUSE TYPICAL 8931; LOT 74,12/27/2000,2/23/2001,79500,37187.65198,2,2001,INACTIVE (INSPECTIONS COMPLETED),006759
0787136629,Building,New Building,TOWNHOUSE TYP. 15097 LOT 77,4/12/2001,5/23/2001,77700,37201.57331,5,2001,INACTIVE (INSPECTIONS COMPLETED),009849
0787136611,Building,New Building,TOWNHOUSE TYP. 15097; LOT88,5/14/2001,6/15/2001,77700,37211.68412,6,2001,INACTIVE (INSPECTIONS COMPLETED),010506
0787136611,Building,Alteration/Repairs,Install push piers as indicated in drawing.  Install supplemental support beam as indicated.,1/10/2023,1/12/2023,17261.91,,1,2023,Expired-Closed,BLDR-001070-2023
0787135888,Building,New Building,TOWNHOUSE LOT67; TYPICAL 8931,12/22/2000,2/5/2001,105500,37055.58385,2,2001,INACTIVE (INSPECTIONS COMPLETED),006752
0787135881,Building,New Building,TOWNHOUSE TYPICAL 8931; LOT 73,12/27/2000,2/23/2001,77700,37181.55024,2,2001,INACTIVE (INSPECTIONS COMPLETED),006758
0787135860,Building,New Building,TOWNHOUSE TYPICAL 8931; LOT 72,12/27/2000,2/23/2001,79500,37180.55905,2,2001,INACTIVE (INSPECTIONS COMPLETED),006757
0787135848,Building,New Building,TOWNHOUSE LOT 68; TYPICAL 8931,12/22/2000,2/5/2001,105500,37042.78337,2,2001,INACTIVE (INSPECTIONS COMPLETED),006753
0787135829,Building,New Building,TOWNHOUSE LOT 69; TYPICAL 8931,12/22/2000,2/5/2001,105500,37041.67087,2,2001,INACTIVE (INSPECTIONS COMPLETED),006754
0787135810,Building,New Building,TOWNHOUSE TYPICAL 8931; LOT 70,12/27/2000,2/23/2001,79500,37187.65152,2,2001,INACTIVE (INSPECTIONS COMPLETED),006755
0787135730,Building,New Building,TOWNHOUSE TYP. 15097 LOT 81,4/12/2001,5/23/2001,77700,37204.57928,5,2001,INACTIVE (INSPECTIONS COMPLETED),009852
0787135699,Building,New Building,TOWNHOUSE TYP. 15097 LOT 78,4/12/2001,5/23/2001,79500,37201.57421,5,2001,INACTIVE (INSPECTIONS COMPLETED),009848
0787135679,Building,New Building,TOWNHOUSE TYP. 15097 LOT 79,4/12/2001,5/23/2001,77700,37195.58855,5,2001,INACTIVE (INSPECTIONS COMPLETED),009850
0787135672,Building,New Building,TOWNHOUSE TYP. 15097; LOT 86,5/14/2001,6/15/2001,77700,37209.60493,6,2001,INACTIVE (INSPECTIONS COMPLETED),010504
0787135641,Building,New Building,TOWNHOUSE TYP. 15097; LOT 85,5/14/2001,6/15/2001,77700,37232.70402,6,2001,INACTIVE (INSPECTIONS COMPLETED),010503
0787135622,Building,New Building,TOWNHOUSE TYP. 15097; LOT 84,5/14/2001,6/15/2001,77700,37210.76355,6,2001,INACTIVE (INSPECTIONS COMPLETED),010502
0787135619,Building,New Building,TOWNHOUSE TYP. 15097 LOT 82,4/12/2001,5/23/2001,79500,37204.57928,5,2001,INACTIVE (INSPECTIONS COMPLETED),009853
0787135602,Building,New Building,TOWNHOUSE TYP. 15097  LOT 83,5/14/2001,6/15/2001,77700,37211.68508,6,2001,INACTIVE (INSPECTIONS COMPLETED),010501
0787134818,Building,New Building,TOWNHOUSE  LOT 56,11/27/2000,12/28/2000,105500,37015.62697,12,2000,INACTIVE (INSPECTIONS COMPLETED),006073
0787134700,Building,New Building,TOWNHOUSE TYP. 15097; LOT 174,4/12/2001,5/23/2001,105500,37193.79763,5,2001,INACTIVE (INSPECTIONS COMPLETED),009857
0787134618,Building,New Building,TOWNHOUSE TYP. 15097; LOT 173,4/12/2001,5/23/2001,105500,37181.55023,5,2001,INACTIVE (INSPECTIONS COMPLETED),009861
0787134606,Building,New Building,TOWNHOUSE TYP. 15097; LOT 172,4/12/2001,5/23/2001,105500,37179.64622,5,2001,INACTIVE (INSPECTIONS COMPLETED),009860
0787134604,Building,New Building,TOWNHOUSE TYP. 15097; LOT 171,4/12/2001,5/23/2001,105500,37179.64558,5,2001,INACTIVE (INSPECTIONS COMPLETED),009859
0787133898,Building,New Building,TOWNHOUSE  LOT 55,11/27/2000,12/28/2000,105500,37020.78546,12,2000,INACTIVE (INSPECTIONS COMPLETED),006072
0787133878,Building,New Building,TOWNHOUSE  LOT 54,11/27/2000,12/28/2000,105500,37020.62135,12,2000,INACTIVE (INSPECTIONS COMPLETED),006071
0787133859,Building,New Building,TOWNHOUSE  LOT 53,11/27/2000,12/28/2000,105500,37020.78447,12,2000,INACTIVE (INSPECTIONS COMPLETED),006070
0787133778,Building,New Building,TOWNHOUSE LOT 158 TYPICAL 15097,3/14/2001,4/24/2001,79500,37153.64895,4,2001,INACTIVE (INSPECTIONS COMPLETED),008926
0787133758,Building,New Building,TOWNHOUSE LOT159 TYPICAL 15097,3/14/2001,4/24/2001,77700,37153.64894,4,2001,INACTIVE (INSPECTIONS COMPLETED),008927
0787133701,Building,New Building,TOWNHOUSE TYP. 15097; LOT 163,4/20/2001,5/24/2001,79500,37151.62117,5,2001,INACTIVE (INSPECTIONS COMPLETED),010045
0787133608,Building,New Building,TOWNHOUSE TYP. 15097; LOT 164,4/20/2001,5/24/2001,77700,37151.75282,5,2001,INACTIVE (INSPECTIONS COMPLETED),010046
0787133606,Building,New Building,TOWNHOUSE TYP. 15097; LOT 165,4/20/2001,5/24/2001,79500,37148.66087,5,2001,INACTIVE (INSPECTIONS COMPLETED),010047
0787133604,Building,New Building,TOWNHOUSE TYP. 15097; LOT 166,4/20/2001,5/24/2001,77700,37151.75213,5,2001,INACTIVE (INSPECTIONS COMPLETED),010048
0787132984,Building,New Building,TOWNHOUSE LOT 50,11/27/2000,12/22/2000,79500,36962.79326,12,2000,INACTIVE (INSPECTIONS COMPLETED),006060
0787132977,Building,New Building,TOWNHOUSE LOT 49,11/27/2000,12/22/2000,79500,36965.77671,12,2000,INACTIVE (INSPECTIONS COMPLETED),006059
0787132570,Building,New Building,TOWNHOUSE TYP/ 15097; LOT 103,5/21/2001,6/26/2001,105500,37204.57927,6,2001,INACTIVE (INSPECTIONS COMPLETED),010681
0787131957,Building,New Building,TOWNHOUSE LOT 13,11/16/2000,12/21/2000,105500,36992.85336,12,2000,INACTIVE (INSPECTIONS COMPLETED),005957
0787131917,Building,New Building,TOWNHOUSE LOT 11,11/16/2000,12/21/2000,105500,36992.85171,12,2000,INACTIVE (INSPECTIONS COMPLETED),005955
0787131882,Building,New Building,TOWNHOUSE LOT 155,3/21/2001,4/24/2001,105500,37138.67242,4,2001,INACTIVE (INSPECTIONS COMPLETED),009146
0787131804,Building,New Building,TOWNHOUSES,1/3/2001,1/30/2001,79500,37068.75083,1,2001,INACTIVE (INSPECTIONS COMPLETED),006839
0787131787,Building,New Building,TOWNHOUSE LOT 153,3/21/2001,4/24/2001,105500,37139.64987,4,2001,INACTIVE (INSPECTIONS COMPLETED),009144
0787131785,Building,New Building,TOWNHOUSE LOT 152,3/21/2001,4/24/2001,105500,37138.66997,4,2001,INACTIVE (INSPECTIONS COMPLETED),009143
0787131782,Building,New Building,TOWNHOUSE TYP. 15097  LOT 151,3/21/2001,4/27/2001,105500,37176.61451,4,2001,INACTIVE (INSPECTIONS COMPLETED),009141
0787131706,Building,New Building,TOWNHOUSES,1/3/2001,1/30/2001,79500,37067.61567,1,2001,INACTIVE (INSPECTIONS COMPLETED),006844
0787131702,Building,New Building,TOWNHOUSES,1/3/2001,1/30/2001,79500,37098.8283,1,2001,INACTIVE (INSPECTIONS COMPLETED),006845
0787131700,Building,New Building,TOWNHOUSES,1/3/2001,1/30/2001,79500,37091.67172,1,2001,INACTIVE (INSPECTIONS COMPLETED),006846
0787131689,Building,New Building,TOWNHOUSE TYP. 15097  LOT150,3/21/2001,4/27/2001,105500,37176.61453,4,2001,INACTIVE (INSPECTIONS COMPLETED),009140
0787131687,Building,New Building,TOWNHOUSE TYP. 15097  LOT 149,3/21/2001,4/27/2001,105500,37195.58856,4,2001,INACTIVE (INSPECTIONS COMPLETED),009139
0787131685,Building,New Building,TOWNHOUSE TYP. 15097  LOT 148,3/21/2001,4/27/2001,105500,37179.62627,4,2001,INACTIVE (INSPECTIONS COMPLETED),009138
0787131683,Building,New Building,TOWNHOUSE TYP. 15097  LOT 147,3/21/2001,4/27/2001,105500,37173.72634,4,2001,INACTIVE (INSPECTIONS COMPLETED),009137
0787131681,Building,New Building,TOWNHOUSE TYP. 15097  LOT 146,3/21/2001,4/27/2001,105500,37221.80788,4,2001,INACTIVE (INSPECTIONS COMPLETED),009136
0787131605,Building,New Building,TOWNHOUSES,1/3/2001,1/30/2001,79500,37092.6524,1,2001,INACTIVE (INSPECTIONS COMPLETED),006848
0787131601,Building,New Building,TOWNHOUSES,1/3/2001,1/30/2001,79500,37090.64625,1,2001,INACTIVE (INSPECTIONS COMPLETED),006851
0787131589,Building,New Building,TOWNHOUSE TYP. 15097 LOT 145,3/21/2001,4/27/2001,105500,37183.54606,4,2001,INACTIVE (INSPECTIONS COMPLETED),009133
0787131520,Building,New Building,TOWNHOUSE TYP. 15097; LOT 109,4/20/2001,5/23/2001,77700,37130.69072,5,2001,INACTIVE (INSPECTIONS COMPLETED),010054
0787130977,Building,New Building,TOWNHOUSE LOT 9,11/16/2000,12/21/2000,105500,36992.84859,12,2000,INACTIVE (INSPECTIONS COMPLETED),005953
0787130947,Building,New Building,TOWNHOUSE LOT 8,11/16/2000,12/21/2000,105500,36992.84723,12,2000,INACTIVE (INSPECTIONS COMPLETED),005952
0787130571,Building,New Building,TOWNHOUSE TYP.15097 LOT 110,3/14/2001,4/19/2001,77700,37118.80907,4,2001,INACTIVE (INSPECTIONS COMPLETED),008919
0787130550,Building,New Building,TOWNHOUSE TYPICAL 15097 LOT 111,3/14/2001,4/19/2001,79500,37118.80933,4,2001,INACTIVE (INSPECTIONS COMPLETED),008923
0787130531,Building,New Building,TOWNHOUSE LOT 312,3/14/2001,4/19/2001,77700,37119.66101,4,2001,INACTIVE (INSPECTIONS COMPLETED),008922
0787130510,Building,New Building,TOWNHOUSE LOT 113 TYPICAL 15097,3/14/2001,4/19/2001,79500,37118.60119,4,2001,INACTIVE (INSPECTIONS COMPLETED),008921
0787116113,Building,New Building,TOWNHOME TYPICAL# 335003 LOT 39,2/15/2013,3/14/2013,75126,41450.51698,3,2013,INACTIVE (INSPECTIONS COMPLETED),104615
0787115765,Building,New Building,NEW TH; LYNWOOD BLUFF LOT 68,1/28/2014,3/18/2014,93208,41829.51862,3,2014,INACTIVE (INSPECTIONS COMPLETED),111921
0787105911,Building,New Building,TYPICAL 363011/LOT 161 TOWNHOME,9/9/2016,10/12/2016,82364,42873.49975,10,2016,INACTIVE (INSPECTIONS COMPLETED),134401
0787100387,Building,New Building,SFD,4/27/2000,5/9/2000,100000,36784.71227,5,2000,INACTIVE (INSPECTIONS COMPLETED),001127
0787081302,Building,New Building,SFD,11/23/2005,11/29/2005,105441,38800.73859,11,2005,INACTIVE (INSPECTIONS COMPLETED),052138
0787078123,Building,New Building,SFD,6/21/2004,7/29/2004,112778,38289.65443,7,2004,INACTIVE (INSPECTIONS COMPLETED),038016
0787078123,Building,Addition,"Addition of 1 bedroom, 1 bathroom, office, theater and sunroom",6/16/2025,8/26/2025,186586.5,,8,2025,Issued,BLDR-026687-2025
0787076935,Building,New Building,TOWNHOUSE LOT 504,1/28/2003,3/10/2003,187176,37768.56161,3,2003,INACTIVE (INSPECTIONS COMPLETED),025303
0787076837,Building,New Building,TOWNHOUSE LOT 502,1/28/2003,3/10/2003,187176,37775.84177,3,2003,INACTIVE (INSPECTIONS COMPLETED),025301
0787075368,Building,Alterations/repairs,FINISH BASEMENT,3/9/2005,3/9/2005,1500,,3,2005,INACTIVE (INSPECTIONS COMPLETED),044763
0787075368,Building,New Building,SFD,4/19/2004,4/29/2004,124564,38244.52932,4,2004,INACTIVE (INSPECTIONS COMPLETED),036058
0787075100,Building,New Building,SFD,9/11/2002,9/17/2002,110428,37691.58698,9,2002,INACTIVE (INSPECTIONS COMPLETED),022280
0787074809,Building,New Building,TOWNHOUSE LOT 510,1/27/2003,3/10/2003,187176,37859.53422,3,2003,INACTIVE (INSPECTIONS COMPLETED),025283
0787074762,Building,New Building,TOWNHOUSE LOT 560,1/27/2003,3/10/2003,187176,37890.80829,3,2003,INACTIVE (INSPECTIONS COMPLETED),025276
0787073764,Building,New Building,TOWNHOUSE TYP. 61253; LOT 558,5/12/2003,7/1/2003,137550,37916.49189,7,2003,INACTIVE (INSPECTIONS COMPLETED),027655
0787072983,Building,New Building,TOWNHOUSE LOT 514,1/27/2003,3/10/2003,187176,37900.48927,3,2003,INACTIVE (INSPECTIONS COMPLETED),025281
0787070807,Building,New Building,TOWNHOME TYPICAL 64064 LOT 5021,1/21/2004,2/10/2004,137550,38187.55741,2,2004,INACTIVE (INSPECTIONS COMPLETED),033752
0787070807,Building,New Building,RE-ISSUE ( CHANGED HOUSEPLANS) LOT 5021,3/8/2004,4/1/2004,141800,38187.55741,4,2004,INACTIVE (INSPECTIONS COMPLETED),034878
0787068702,Building,New Building,SFD,1/10/2003,1/15/2003,124829,37754.49762,1,2003,INACTIVE (INSPECTIONS COMPLETED),025048
0787068702,Building,Alteration/Repairs,REF ZONE-043928-2024 -Repair to house after lightning damage. Did not enter dwelling. Per inspector,10/17/2024,11/4/2024,31680,,11,2024,Complete,BLDR-051684-2024
0787067660,Building,New Building,SFD,1/10/2003,1/15/2003,124829,37754.49762,1,2003,INACTIVE (INSPECTIONS COMPLETED),025038
0787063135,Building,New Building,SFD,4/30/2003,5/13/2003,124829,37875.55858,5,2003,INACTIVE (INSPECTIONS COMPLETED),027365
0787062898,Building,New Building,SFD,11/5/2002,11/8/2002,124829,37727.50166,11,2002,INACTIVE (INSPECTIONS COMPLETED),023622
0787062829,Building,New Building,SFD,9/11/2002,9/17/2002,112778,37768.64595,9,2002,INACTIVE (INSPECTIONS COMPLETED),022289
0787061195,Building,New Building,SFD,4/30/2003,5/13/2003,124829,37869.48813,5,2003,INACTIVE (INSPECTIONS COMPLETED),027369
0787056263,Building,New Building,SFD,3/19/2003,3/24/2003,84807,37831.5414,3,2003,INACTIVE (INSPECTIONS COMPLETED),026257
0787056061,Building,New Building,TOWNHOUSE TYP. 64064; LOT 2036,4/23/2003,5/23/2003,105500,37967.53348,5,2003,INACTIVE (INSPECTIONS COMPLETED),027210
0787056022,Building,New Building,TOWNHOME TYPICAL 15097 LOT 2037,5/9/2002,6/12/2002,105500,37509.53751,6,2002,INACTIVE (INSPECTIONS COMPLETED),019044
0787055923,Building,New Building,SFD,8/14/2003,8/21/2003,103298,37967.82814,8,2003,INACTIVE (INSPECTIONS COMPLETED),030160
0787055091,Building,New Building,TOWNHOME TYPICAL 15097 LOT 2038,5/9/2002,6/12/2002,105500,37503.80112,6,2002,INACTIVE (INSPECTIONS COMPLETED),019043
0787055051,Building,New Building,TOWNHOME TYPICAL 15097 LOT 2040,5/9/2002,6/12/2002,105500,37502.50638,6,2002,INACTIVE (INSPECTIONS COMPLETED),019047
0787054604,Building,Other,SUNROOM ON EXISTING PATIO,4/12/2011,4/12/2011,30000,,4,2011,INACTIVE (INSPECTIONS COMPLETED),091771
0787054604,Building,New Building,SFD,1/9/2003,1/15/2003,105117,37727.80655,1,2003,INACTIVE (INSPECTIONS COMPLETED),025025
0787054523,Building,New Building,SFD,1/15/2003,1/17/2003,92376,37750.50703,1,2003,INACTIVE (INSPECTIONS COMPLETED),025101
0787054438,Building,New Building,SFD,1/15/2003,1/17/2003,103298,37743.50528,1,2003,INACTIVE (INSPECTIONS COMPLETED),025102
0787054276,Building,New Building,SFD,2/21/2003,2/28/2003,103298,37776.49762,2,2003,INACTIVE (INSPECTIONS COMPLETED),025709
0787054276,Building,New Building,,2/21/2003,,0,,,,REVIEW IN PROGRESS,025708
0787053769,Building,New Building,SFD,8/14/2003,8/21/2003,103298,37944.5444,8,2003,INACTIVE (INSPECTIONS COMPLETED),030152
0787053249,Building,New Building,SFD,1/7/2003,1/8/2003,103298,37714.56211,1,2003,INACTIVE (INSPECTIONS COMPLETED),024980
0787052944,Building,New Building,SFD,7/17/2003,7/21/2003,103298,37957.54292,7,2003,INACTIVE (INSPECTIONS COMPLETED),029422
0787052006,Building,New Building,SFD,4/22/2003,4/28/2003,103298,37914.50337,4,2003,INACTIVE (INSPECTIONS COMPLETED),027129
0787051280,Building,New Building,SFD,1/7/2003,1/8/2003,103298,37720.81741,1,2003,INACTIVE (INSPECTIONS COMPLETED),024976
0787050244,Building,New Building,SFD,1/8/2003,1/28/2003,105117,37886.56294,1,2003,INACTIVE (INSPECTIONS COMPLETED),024998
0787050158,Building,New Building,SFD,1/8/2003,1/28/2003,103298,37939.88404,1,2003,INACTIVE (INSPECTIONS COMPLETED),024997
0787049043,Building,New Building,TOWNHOUSE LOT 7,11/16/2000,12/21/2000,105500,37006.60549,12,2000,INACTIVE (INSPECTIONS COMPLETED),005965
0787049041,Building,New Building,TOWNHOUSE LOT 6,11/16/2000,12/21/2000,105500,37000.59355,12,2000,INACTIVE (INSPECTIONS COMPLETED),005964
0787047843,Building,New Building,TOWNHOUSE TYP. 64064; LOT 2004,4/23/2003,5/23/2003,105500,37930.57198,5,2003,INACTIVE (INSPECTIONS COMPLETED),027206
0787047841,Building,New Building,TOWNHOUSE TYP. 64064; LOT 2005,4/23/2003,5/23/2003,105500,37930.57198,5,2003,INACTIVE (INSPECTIONS COMPLETED),027207
0787046910,Building,New Building,TOWNHOME TYPICAL 15097 LOT 2032,5/9/2002,6/12/2002,105500,37491.52477,6,2002,INACTIVE (INSPECTIONS COMPLETED),019040
0787046826,Building,New Building,TOWNHOME TYPICAL 15097 LOT 2030,5/9/2002,6/12/2002,105500,37496.60574,6,2002,INACTIVE (INSPECTIONS COMPLETED),019038
0787046824,Building,New Building,TOWNHOME TYPICAL 15097 LOT 2029,5/9/2002,6/12/2002,105500,37498.5703,6,2002,INACTIVE (INSPECTIONS COMPLETED),019037
0787046818,Building,New Building,TOWNHOME TYPICAL 15097 LOT 2031,5/9/2002,6/12/2002,105500,37489.5528,6,2002,INACTIVE (INSPECTIONS COMPLETED),019039
0787046747,Building,New Building,TOWNHOME TYPICAL 15097 LOT 2026,5/9/2002,6/12/2002,105500,37497.54642,6,2002,INACTIVE (INSPECTIONS COMPLETED),019033
0787046661,Building,New Building,TOWNHOME TYPICAL 15097 LOT 2019,5/9/2002,6/12/2002,105500,37522.5398,6,2002,INACTIVE (INSPECTIONS COMPLETED),019049
0787046659,Building,New Building,TOWNHOME TYPICAL 15097 LOT 2023,5/9/2002,6/12/2002,105500,37509.53751,6,2002,INACTIVE (INSPECTIONS COMPLETED),019052
0787046653,Building,New Building,TOWNHOME TYPICAL 15097 LOT 2020,5/9/2002,6/12/2002,105500,37516.53013,6,2002,INACTIVE (INSPECTIONS COMPLETED),019048
0787046647,Building,New Building,TOWNHOME TYPICAL 15097 LOT 2022,5/9/2002,6/12/2002,105500,37516.53013,6,2002,INACTIVE (INSPECTIONS COMPLETED),019051
0787046551,Building,New Building,TOWNHOME TYPICAL 15097 LOT 2062,5/9/2002,6/12/2002,105500,37557.58969,6,2002,INACTIVE (INSPECTIONS COMPLETED),019060
0787046531,Building,New Building,TOWNHOME TYPICAL 15097 LOT 2063,5/9/2002,6/12/2002,105500,37557.59064,6,2002,INACTIVE (INSPECTIONS COMPLETED),019061
0787045746,Building,New Building,TOWNHOME TYPICAL 45146 LOT 2054,6/17/2002,8/13/2002,73000,37582.6606,8,2002,INACTIVE (INSPECTIONS COMPLETED),020300
0787045581,Building,New Building,TOWNHOME TYPICAL 15097 LOT 2065,5/9/2002,6/12/2002,105500,37532.55203,6,2002,INACTIVE (INSPECTIONS COMPLETED),019063
0787044969,Building,New Building,TOWNHOUSE LOT 2043,8/30/2002,9/30/2002,105500,37613.58252,9,2002,INACTIVE (INSPECTIONS COMPLETED),022067
0787044949,Building,New Building,TOWNHOUSE LOT 2044,8/30/2002,9/30/2002,105500,37699.73883,9,2002,INACTIVE (INSPECTIONS COMPLETED),022068
0787044581,Building,New Building,TOWNHOME TYPICAL 45146 LOT 2069,6/17/2002,8/13/2002,73000,37564.70174,8,2002,INACTIVE (INSPECTIONS COMPLETED),020310
0787043906,Building,New Building,TOWNHOME LOT 2088 (APPLYING FOR TYPICAL),3/14/2003,4/7/2003,128710,37810.50689,4,2003,INACTIVE (INSPECTIONS COMPLETED),026177
0787043523,Building,New Building,TOWNHOME TYPICAL 64064 LOT 2118,4/11/2003,6/5/2003,105500,37889.49963,6,2003,INACTIVE (INSPECTIONS COMPLETED),026896
0787043502,Building,New Building,TOWNHOME TYPICAL 64064 LOT 2119,4/11/2003,6/5/2003,105500,37889.85523,6,2003,INACTIVE (INSPECTIONS COMPLETED),026899
0787042985,Building,New Building,TOWNHOME LOT 2089 (APPLYING FOR TYPICAL),3/14/2003,4/7/2003,128710,37810.50689,4,2003,INACTIVE (INSPECTIONS COMPLETED),026178
0787042762,Building,New Building,TOWNHOME TYPICAL 64064 LOT 2104,4/11/2003,6/5/2003,105500,37869.48813,6,2003,INACTIVE (INSPECTIONS COMPLETED),026884
0787042759,Building,New Building,TOWNHOME LOT 2101 (APPLYING FOR TYPICAL),3/17/2003,4/7/2003,128710,37838.50141,4,2003,INACTIVE (INSPECTIONS COMPLETED),026197
0787042553,Building,New Building,TOWNHOME TYPICAL 64064 LOT 2121,4/11/2003,6/5/2003,105500,37889.49962,6,2003,INACTIVE (INSPECTIONS COMPLETED),026898
0787042533,Building,New Building,TOWNHOME TYPICAL 64064 LOT 2122,4/11/2003,6/5/2003,105500,37938.7865,6,2003,INACTIVE (INSPECTIONS COMPLETED),026900
0787041821,Building,New Building,TOWNHOME LOT 2111 (APPLYING FOR TYPICAL),3/17/2003,4/7/2003,128710,37839.5059,4,2003,INACTIVE (INSPECTIONS COMPLETED),026192
0787041573,Building,New Building,TOWNHOME TYPICAL 64064 LOT 2124,4/11/2003,6/5/2003,105500,37938.79233,6,2003,INACTIVE (INSPECTIONS COMPLETED),026902
0787041533,Building,New Building,TOWNHOME TYPICAL 64064 LOT 2126,4/11/2003,6/5/2003,105500,37938.69417,6,2003,INACTIVE (INSPECTIONS COMPLETED),026904
0787040789,Building,New Building,TOWNHOME LOT 2109 (APPLYING FOR TYPICAL),3/17/2003,4/7/2003,128710,37839.5059,4,2003,INACTIVE (INSPECTIONS COMPLETED),026194
0787039944,Building,New Building,TOWNHOUSE LOT 3,11/16/2000,12/21/2000,10550,37068.61954,12,2000,INACTIVE (INSPECTIONS COMPLETED),005961
0787039942,Building,New Building,TOWNHOUSE LOT 2,11/16/2000,12/21/2000,105500,37001.58157,12,2000,INACTIVE (INSPECTIONS COMPLETED),005960
0787039940,Building,New Building,TOWNHOUSE LOT 1,11/16/2000,12/21/2000,105500,37004.59353,12,2000,INACTIVE (INSPECTIONS COMPLETED),005959
0787039762,Building,New Building,TOWNHOUSES,1/3/2001,1/30/2001,79500,37071.72425,1,2001,INACTIVE (INSPECTIONS COMPLETED),006829
0787039742,Building,,,11/17/2008,,0,,,,REVIEW IN PROGRESS,078643
0787039742,Building,New Building,TOWNHOUSES,1/3/2001,1/30/2001,79500,37078.59502,1,2001,INACTIVE (INSPECTIONS COMPLETED),006828
0787039742,Building,Alteration/Repairs,FOUNDATION REPAIR USING INSTALLATION OF HELICAL PIER TO STABILIZE FOUNDOATION PER STRUCTURAL DESIGN,9/16/2020,9/24/2020,2400,,9,2020,Complete,BLDR-037971-2020
0787039722,Building,New Building,TOWNHOUSES,1/3/2001,1/30/2001,79500,37078.59502,1,2001,INACTIVE (INSPECTIONS COMPLETED),006827
0787039581,Building,New Building,TOWNHOUSE LOT 114 TYPICAL 15097,3/14/2001,4/19/2001,77700,37119.66101,4,2001,INACTIVE (INSPECTIONS COMPLETED),008920
0787022366,Building,Alterations/repairs,FINISH BASEMENT-WORK ALREADY COMPLETED,7/16/2013,7/19/2013,24000,41494.49554,7,2013,INACTIVE (INSPECTIONS COMPLETED),107937
0787012063,Building,Deck/Porch,REMOVE OLD ROTTEN 12x12 DECK. REBUILD A NEW 12'X12' DECK AND A 12'x12' SCREEN PORCH ON REAR ELEVATIO,2/27/2020,3/30/2020,0,,3,2020,Complete,BLDR-008251-2020
0787006224,Building,Alteration/Repairs,PORCH & DECK,4/3/2018,4/10/2018,0,,4,2018,Complete,147989
0786983074,Building,New Building,RELOCATE HOUSE TO THIS LOT FROM 120 DUBLIN RD,3/11/2003,3/31/2003,20000,37931.54249,3,2003,INACTIVE (INSPECTIONS COMPLETED),026069
0786983074,Building,Accessory Structure,CARPORT,4/11/2014,4/21/2014,0,,4,2014,Complete,113365
0786980676,Building,Other,BUILD GAZEBO,10/11/2004,10/11/2004,6000,,10,2004,INACTIVE (INSPECTIONS COMPLETED),041127
0786974318,Building,Alterations/repairs,REMODEL FAMILY ROOM AND BATH,3/30/2011,3/30/2011,45000,40745.49834,3,2011,INACTIVE (INSPECTIONS COMPLETED),091542
0786972902,Building,Addition,CHANGE CARPORT TO GARAGE,9/15/2000,9/15/2000,3000,,9,2000,INACTIVE (INSPECTIONS COMPLETED),004568
0786971782,Building,NON-CONSTRUCTION INSPECTION,FIRE DAMAGE INSPECTION,1/31/2005,1/31/2005,0,,1,2005,INACTIVE (INSPECTIONS COMPLETED),043852
0786934843,Building,Alterations/repairs,FINISH BASEMENT,2/27/2004,2/27/2004,30000,38195.52828,2,2004,INACTIVE (INSPECTIONS COMPLETED),034624
0786934597,Building,Alteration/Repairs,KITCHEN RENOVATION,12/5/2017,12/5/2017,10257,43074,12,2017,Complete,145346
0786934597,Building,Alteration/Repairs,"Renovate 2nd floor master bath including moving a non load bearing wall 16"" in to the master bedroom",7/29/2024,8/5/2024,13307.49,,8,2024,Complete,BLDR-037640-2024
0786930643,Building,Addition,"MASTER SUITE, REC ROOM, SINGLE CAR ATTACHED GARAGE, SCREENED PORCH ADDITION W/ FRONT STOOP   *****In",12/14/2020,1/6/2021,175292.04,,1,2021,Complete,BLDR-051316-2020
0786830844,Building,Alteration/Repairs,TREE DAMAGE REPAIRS,9/10/2019,10/1/2019,0,,10,2019,Complete,BLDR-012956-2019
0786746394,Building,Addition,1 STORY ADDITION,7/3/2006,7/17/2006,40000,39140.51589,7,2006,INACTIVE (INSPECTIONS COMPLETED),058093
0786744351,Building,Alteration/Repairs,Steel pier (8) stabilization of existing foundation.,12/20/2022,12/22/2022,0,,12,2022,Issued,BLDR-062621-2022
0786727824,Building,Alteration/Repairs,PORCH,8/5/2015,8/7/2015,0,,8,2015,Complete,124259
0786726251,Building,Addition,"ADDITION OF SUNROOM W/ MINI SPLIT, slab",10/18/2021,11/3/2021,32941.44,,11,2021,Complete,BLDR-049985-2021
